place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
0832155,"Greeley city, Colorado",19,2024,114366,ets,4233,4839,114109,115424,116732,118034,119330,6102,6968,116080,117795,119509,121223,122936,114109,110235,118075,115424,111547,119198,116732,112806,120659,118034,114166,121931,119330,115360,123159,4.34
0177256,"Tuscaloosa city, Alabama",19,2024,114274,ets,4981,5624,114278,115015,115682,116287,116835,5710,7023,115264,116133,116896,117565,118152,114278,108381,120315,115015,107620,121934,115682,107192,123782,116287,106726,125461,116835,106246,126615,2.24
4801924,"Allen city, Texas",19,2024,113761,ets,1489,1858,115636,117443,119202,120914,122580,2059,2516,115901,118021,120123,122205,124269,115636,113186,118144,117443,114991,119830,119202,116719,121686,120914,118467,123379,122580,120070,125003,7.75
0611194,"Carlsbad city, California",19,2024,113575,arima,7981,8273,112976,112504,112072,111678,111317,7188,7236,113839,114075,114285,114473,114641,113839,110663,117015,114075,109510,118640,114285,108610,119960,114473,107830,121116,114641,107120,122162,0.94
2646000,"Lansing city, Michigan",19,2024,113466,ets,2765,3567,113834,113808,113782,113755,113729,3483,3632,113010,113358,113092,113295,113140,113834,107647,120169,113808,107616,119836,113782,107511,120054,113755,107577,119979,113729,107388,119846,0.23
5322640,"Everett city, Washington",19,2024,112999,ets,1370,1715,111884,112041,112176,112293,112393,2801,3294,113226,113320,113359,113375,113382,111884,107773,116092,112041,107927,116046,112176,108010,116343,112293,108188,116428,112393,108180,116457,-0.54
4807000,"Beaumont city, Texas",19,2024,112888,arima,6873,7520,112182,111725,111357,111060,110820,4127,5030,113548,113085,113410,113182,113342,113548,110055,117041,113085,107701,118470,113410,106891,119928,113182,105549,120816,113342,104831,121852,0.4
0650076,"Murrieta city, California",19,2024,112531,arima,6932,7390,115889,116330,116733,117100,117435,4101,4882,112482,112484,112484,112484,112484,112482,107806,117158,112484,106146,118822,112484,104828,120140,112484,103706,121261,112484,102712,122255,-0.04
3563460,"Rio Rancho city, New Mexico",19,2024,112518,ets,5815,6657,114138,115408,116425,117238,117889,9333,10030,113405,114079,114591,114980,115275,114138,110706,117651,115408,109885,120733,116425,108578,124248,117238,106734,127335,117889,104901,129892,4.77
0678120,"Temecula city, California",19,2024,112438,arima,9138,10178,114686,114945,115168,115361,115527,7149,8279,112139,112300,112213,112260,112235,112139,105049,119229,112300,102819,121781,112213,100590,123837,112260,98947,125574,112235,97368,127102,-0.18
